Timestamp,Over,Bowler,Runs,Wickets,Batsman,Score
29/07/2022 23:42:58,1,Bhuvneshwar Kumar,11,0,,11
29/07/2022 23:43:43,2,Arshdeep Singh,11,1,Kyle Mayers,22
29/07/2022 23:44:49,3,Ravindra Jadeja,5,1,Jason Holder,27
29/07/2022 23:45:25,4,Arshdeep Singh,5,0,,32
29/07/2022 23:45:50,5,Ravichandran Ashwin,10,0,,42
29/07/2022 23:46:41,6,Bhuvneshwar Kumar,0,1,Sharmarh Brooks,42
29/07/2022 23:47:06,7,Hardik Pandya,10,0,,52
29/07/2022 23:47:36,8,Ravindra Jadeja,13,0,,65
29/07/2022 23:48:44,9,Ravichandran Ashwin,2,1,Nicholas Pooran,67
29/07/2022 23:49:17,10,Ravindra Jadeja,6,0,,73
29/07/2022 23:49:51,11,Ravichandran Ashwin,9,0,,82
29/07/2022 23:50:43,12,Ravi Bishnoi,3,1,Rovman Powell,85
29/07/2022 23:51:39,13,Ravichandran Ashwin,1,1,Shimron Hetmyer,86
29/07/2022 23:52:53,14,Ravi Bishnoi,10,1,Odean Smith,96
29/07/2022 23:53:21,15,Hardik Pandya,2,0,,98
29/07/2022 23:54:18,16,Ravi Bishnoi,2,0,,100
29/07/2022 23:55:06,17,Arshdeep Singh,4,1,Akeal Hosein,104
29/07/2022 23:55:39,18,Ravindra Jadeja,2,0,,106
29/07/2022 23:56:15,19,Arshdeep Singh,5,0,,111
29/07/2022 23:56:34,20,Ravi Bishnoi,11,0,,122